['Co.evolution']	0.6793929504216618	[0.6028645833333334, 0.7329105003523608, 0.7019027484143763, 0.7417195207892883, 0.6748046875000001, 0.6656901041666666, 0.6350696547546941, 0.7116898849182314, 0.741014799154334, 0.5862630208333334]
['Conservation']	0.7037634952449131	[0.6918225315354503, 0.6438802083333333, 0.6664000000000001, 0.8015384615384615, 0.6895820714718353, 0.6895701198026778, 0.6693989071038252, 0.8038548752834468, 0.6614173228346458, 0.7201704545454545]
['Entropy']	0.6181396108538497	[0.6349541930937279, 0.5803846153846154, 0.6509333333333334, 0.6989478718316595, 0.5496828752642706, 0.541923076923077, 0.7200000000000001, 0.5830078125, 0.6032417195207893, 0.6183206106870229]
['RASA']	0.6389318428796384	[0.7553854875283447, 0.6153519932145887, 0.6281179138321995, 0.671875, 0.6732954545454546, 0.6599030890369473, 0.5554758488761359, 0.5546159267089501, 0.6026666666666667, 0.6726310483870968]
['energy']	0.5892074831495697	[0.6352459016393444, 0.6094147582697201, 0.5823076923076923, 0.532404603270745, 0.6678004535147392, 0.5338266384778012, 0.5016111707841031, 0.6060220525869381, 0.6357082273112807, 0.5877333333333333]
['Betweenness']	0.7233100778203947	[0.7900390625, 0.7998046875, 0.7356147789218656, 0.6983646274984857, 0.7620865139949109, 0.8049194232400338, 0.6573076923076924, 0.6000504032258065, 0.6254734848484849, 0.7594401041666666]
['Closeness']	0.5	[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
['Degree']	0.9579088908618489	[0.9661538461538463, 0.9461538461538461, 0.9612625538020086, 0.9647639182522902, 0.9801587301587302, 0.9133858267716535, 0.9688461538461538, 0.9810606060606061, 0.97265625, 0.9246471774193549]
['Eigenvector']	0.6392480352668802	[0.592, 0.7621333333333333, 0.5315384615384615, 0.6028645833333334, 0.6368371212121211, 0.6245972073039742, 0.653061224489796, 0.5377026074700493, 0.7357679914070892, 0.7159778225806452]
['Clustering.coefficient']	0.7203053531191845	[0.7656800563777307, 0.773960983884648, 0.8362630208333334, 0.5260448213204119, 0.7176684881602915, 0.6161374510656807, 0.7099609375, 0.924812030075188, 0.6762568140520896, 0.6562689279224712]
['Effectiveness']	0.698659835563656	[0.767175572519084, 0.8150105708245242, 0.6483439041578576, 0.6728515625, 0.5595238095238095, 0.7202620967741935, 0.7419745608721987, 0.6566236250597801, 0.6967769296013571, 0.7080557238037553]
['Sensitivity']	0.7195494515843819	[0.678030303030303, 0.610383064516129, 0.7758985200845666, 0.7871740662438337, 0.771350696547547, 0.6066020593579649, 0.6962666666666668, 0.7357293868921776, 0.7930449533502968, 0.7410147991543341]
['MSF']	0.6426152816760552	[0.677154195011338, 0.5676709708273553, 0.6246819338422392, 0.7053846153846155, 0.6414399092970522, 0.6864754098360656, 0.6214415505754088, 0.6327116212338594, 0.5821697099892589, 0.6870229007633588]
['DFI']	0.663921263569357	[0.7249544626593807, 0.5794666666666666, 0.7786666666666666, 0.6696265938069218, 0.6997333333333333, 0.7029073288915808, 0.5408, 0.6465384615384615, 0.6477864583333334, 0.6487326637972262]
['Stiffness']	0.6546426878124435	[0.6822076612903226, 0.6907692307692308, 0.6220703125, 0.5979563072586328, 0.6717333333333333, 0.6352459016393442, 0.6914845173041893, 0.6665384615384615, 0.6073076923076923, 0.6811134601832276]
['Co.evolution', 'Conservation']	0.6812530263632539	[0.6332525741974562, 0.6632739609838847, 0.7410147991543341, 0.6785411365564037, 0.7142353770260746, 0.6819727891156463, 0.6408237431859478, 0.6650728597449909, 0.6635487528344671, 0.7307942708333333]
['Co.evolution', 'Entropy']	0.5947302462926347	[0.6205330102967899, 0.6634114583333334, 0.5838461538461538, 0.6081149193548387, 0.6050878255602665, 0.6538461538461539, 0.6635372501514233, 0.5987903225806451, 0.3944020356234097, 0.5557333333333334]
['Co.evolution', 'RASA']	0.6921647279945422	[0.8525925925925927, 0.6238643246517261, 0.7453846153846154, 0.6988973706530958, 0.6071428571428571, 0.723816355810617, 0.792107117688513, 0.5847970926711084, 0.5110262934690415, 0.7820186598812553]
['Co.evolution', 'energy']	0.7065024374899106	[0.6818181818181818, 0.6856060606060606, 0.7896522476675149, 0.7396673387096775, 0.6004296455424275, 0.7463002114164905, 0.7153846153846154, 0.7135701275045536, 0.7817540322580645, 0.6108419139915203]
['Co.evolution', 'Betweenness']	0.736148226347816	[0.780328798185941, 0.8566176470588235, 0.6171875, 0.6613333333333333, 0.8125, 0.751937984496124, 0.6771653543307087, 0.6997885835095138, 0.6852846401718582, 0.8193384223918575]
['Co.evolution', 'Closeness']	0.6955234247699394	[0.7040000000000001, 0.7477318548387097, 0.6858723958333334, 0.611328125, 0.6747159090909091, 0.6906666666666665, 0.6380208333333334, 0.7064834390415785, 0.5912298387096775, 0.9051851851851853]
['Co.evolution', 'Degree']	0.9717981981100804	[0.9711620016963528, 0.9936402180496668, 0.9792107117688513, 0.9869791666666666, 0.9411538461538461, 0.9904233870967742, 0.9811538461538462, 0.9774489076814659, 0.9290364583333334, 0.9677734375000001]
['Co.evolution', 'Eigenvector']	0.6581359683129826	[0.7219873150105708, 0.6576923076923077, 0.6400226757369614, 0.6111538461538462, 0.7003968253968254, 0.7410666666666667, 0.7457482993197279, 0.583969465648855, 0.540650406504065, 0.638671875]
['Co.evolution', 'Clustering.coefficient']	0.7070082014263835	[0.6423076923076924, 0.7581967213114753, 0.6402666666666667, 0.7347062386432465, 0.6945031712473573, 0.7493489583333334, 0.6138059701492538, 0.7027141645462256, 0.7248062015503877, 0.8094262295081968]
